INEX_LD-20120111	vietnam war movie
QALD2_te-31	give current methodist national leader
QALD2_te-33	give australia nonprofit organization
QALD2_te-34	military conflict lawrence arabia participate
QALD2_te-35	develop skype
QALD2_te-39	give company munich
QALD2_te-40	list boardgame gmt
QALD2_te-41	found intel
QALD2_te-42	husband amanda palmer
QALD2_te-43	give breed germany shepherd dog
QALD2_te-44	city weser flow
QALD2_te-45	country connected rhine
QALD2_te-46	professional surfer born philippines
QALD2_te-48	uk city headquarters mi6
QALD2_te-49	weapon designer uzi develop
QALD2_te-51	give frisian island belong netherlands
QALD2_te-53	ruling party lisbon
QALD2_te-55	greece goddesse dwelt mount olympus
QALD2_te-57	give apollo 14 astronaut
QALD2_te-58	time zone salt lake city
QALD2_te-59	us states timezone utah
QALD2_te-60	give list lake denmark
QALD2_te-63	give argentina film
QALD2_te-64	give launch pad operate nasa
QALD2_te-65	instrument john lennon play
QALD2_te-66	ship call benjamin franklin
QALD2_te-67	parent wife juan carlos i
QALD2_te-72	us state area 51 located
QALD2_te-75	daughter britain earl die place born
QALD2_te-76	list children margaret thatch
QALD2_te-77	call scarface
QALD2_te-80	give books william goldman 300 page
QALD2_te-81	books kerouac publish viking press
QALD2_te-82	give list america invention
QALD2_te-84	create comic captain america
QALD2_te-86	largest city australia
QALD2_te-87	compose music harold maude
QALD2_te-88	film star clint eastwood direct
QALD2_te-89	city former dutch queen juliana bury
QALD2_te-90	residence prime minister spain
QALD2_te-91	us state abbreviation mn
QALD2_te-92	show song bruce springsteen release 1980 1990
QALD2_te-93	movies sam raimi direct army dark
QALD2_te-95	wrote lyrics polish national anthem
QALD2_te-97	paint storm sea galilee
QALD2_te-98	country creator miffy come
QALD2_te-99	label elvi record first album
QALD2_te-100	produce orangina
QALD2_tr-1	give female russia astronaut
QALD2_tr-3	daughter bill clinton married
QALD2_tr-4	river brooklyn bridge cross
QALD2_tr-6	abraham lincoln die
QALD2_tr-8	states germany govern social democratic party
QALD2_tr-9	us states possess gold mineral
QALD2_tr-10	country nile start
QALD2_tr-11	country place two cave
QALD2_tr-13	classi millepede belong
QALD2_tr-15	create goofy
QALD2_tr-16	give capitals country africa
QALD2_tr-17	give city new jersey 100000 inhabitant
QALD2_tr-18	museum exhibit scream munch
QALD2_tr-21	states border illinois
QALD2_tr-22	country limerick lake
QALD2_tr-23	television show create walt disney
QALD2_tr-24	mountain highest annapurna
QALD2_tr-25	film direct garry marshall julia robert star
QALD2_tr-26	bridge type manhattan bridge
QALD2_tr-28	europe country constitutional monarchy
QALD2_tr-29	award wikileak win
QALD2_tr-30	state usa highest population density
QALD2_tr-31	currency czech republic
QALD2_tr-32	country europe union adopt euro
QALD2_tr-34	country two official language
QALD2_tr-35	owner universal studio
QALD2_tr-36	country yenisei river flow
QALD2_tr-38	monarch united kingdom married germany
QALD2_tr-40	highest mountain australia
QALD2_tr-41	give soccer club spain
QALD2_tr-42	official language philippines
QALD2_tr-43	mayor new york city
QALD2_tr-44	design brooklyn bridge
QALD2_tr-45	telecommunications organization located belgium
QALD2_tr-47	highest place karakoram
QALD2_tr-49	give company advertising industry
QALD2_tr-50	bruce carver die
QALD2_tr-51	give school type
QALD2_tr-52	president born 1945
QALD2_tr-53	give president united states
QALD2_tr-54	wife us president lincoln
QALD2_tr-55	develop video game world warcraft
QALD2_tr-57	list episode first season hbo television series soprano
QALD2_tr-58	produce film
QALD2_tr-59	give people first name jimmy
QALD2_tr-61	mountain higher nanga parbat
QALD2_tr-62	create wikipedia
QALD2_tr-63	give actor star batman begin
QALD2_tr-64	software develop organization found california
QALD2_tr-65	company work aerospace industry nuclear reactor technology
QALD2_tr-68	actor born germany
QALD2_tr-69	cave 3 entrance
QALD2_tr-70	give film produce hal roach
QALD2_tr-71	give video games publish mean hamster software
QALD2_tr-72	language spoken estonia
QALD2_tr-73	own aldi
QALD2_tr-74	capitals europe host city summer olympic games
QALD2_tr-75	5th president united states america
QALD2_tr-77	music album contain song christmas
QALD2_tr-78	give books written danielle steel
QALD2_tr-79	airport located california usa
QALD2_tr-80	give canada grunge record label
QALD2_tr-81	country official language
QALD2_tr-82	program language gimp written
QALD2_tr-83	produce film star natalie portman
QALD2_tr-84	give movies tom cruise
QALD2_tr-85	film julia robert richard gere play
QALD2_tr-86	give female germany chancellor
QALD2_tr-87	wrote book pillar earth
QALD2_tr-89	give soccer club premier league
QALD2_tr-91	organization found 1950
QALD2_tr-92	highest mountain
SemSearch_ES-1	44 magnum hunting
SemSearch_ES-2	b f skin
SemSearch_ES-3	bookwork
SemSearch_ES-4	naacp image award
SemSearch_ES-5	scott county
SemSearch_ES-6	air wisconsin
SemSearch_ES-7	airsoft glock
SemSearch_ES-8	aloha sol
SemSearch_ES-9	america embassy nairobi
SemSearch_ES-10	asheville north carolina
SemSearch_ES-11	austin powers
SemSearch_ES-12	austin texas
SemSearch_ES-13	banana paper making
SemSearch_ES-14	ben franklin
SemSearch_ES-15	bradley center
SemSearch_ES-16	brooklyn bridge
SemSearch_ES-17	butte montana
SemSearch_ES-18	canasta cards
SemSearch_ES-19	carl lewis
SemSearch_ES-20	carolina
SemSearch_ES-21	charles darwin
SemSearch_ES-22	city charlotte
SemSearch_ES-23	city virginia beach
SemSearch_ES-24	coastal carolina
SemSearch_ES-25	david suchet
SemSearch_ES-26	disney orlando
SemSearch_ES-27	earl
SemSearch_ES-28	el salvador
SemSearch_ES-29	elli college
SemSearch_ES-30	eloan line credit
SemSearch_ES-31	emery
SemSearch_ES-32	fitzgerald auto mall chambersburg pa
SemSearch_ES-33	harry potter
SemSearch_ES-34	harry potter movie
SemSearch_ES-35	hospice cincinnati
SemSearch_ES-36	imdb batman returns
SemSearch_ES-37	jack johnson
SemSearch_ES-38	jack rip
SemSearch_ES-39	james caldwell high school
SemSearch_ES-40	james clayton md
SemSearch_ES-41	joan arc
SemSearch_ES-42	john maxwell
SemSearch_ES-45	keith urban
SemSearch_ES-47	king arthur
SemSearch_ES-48	la scala restaurant philadelphia
SemSearch_ES-49	laura bush
SemSearch_ES-50	laura steele bob tom
SemSearch_ES-51	lexu maplewood
SemSearch_ES-52	lincoln park
SemSearch_ES-53	lynchburg virginia
SemSearch_ES-54	marc anthony
SemSearch_ES-55	marcu theater
SemSearch_ES-56	mario bro
SemSearch_ES-57	martin luther king
SemSearch_ES-58	mason ohio
SemSearch_ES-59	mercy hospital des moines ia
SemSearch_ES-60	michael douglas
SemSearch_ES-61	rourke fantasy island
SemSearch_ES-63	old winchester shotgun
SemSearch_ES-64	omeara ford
SemSearch_ES-65	orlando florida
SemSearch_ES-66	overeater anonymous
SemSearch_ES-67	ovguide movies
SemSearch_ES-68	pierce county washington
SemSearch_ES-69	piosenki mp3
SemSearch_ES-70	radio italia online
SemSearch_ES-71	richmond virginia
SemSearch_ES-72	rock 103 memphis
SemSearch_ES-73	rowan university
SemSearch_ES-74	sacred heart u
SemSearch_ES-75	sagemont church houston tx
SemSearch_ES-76	san antonio
SemSearch_ES-77	savannah tech
SemSearch_ES-78	sharp pc
SemSearch_ES-79	shobana masala
SemSearch_ES-80	sonny cher
SemSearch_ES-81	south dakota state university
SemSearch_ES-82	st lucia
SemSearch_ES-83	st paul saint
SemSearch_ES-84	dish danielle fishel
SemSearch_ES-85	longest yard sale
SemSearch_ES-86	morning call lehigh valley pa
SemSearch_ES-87	quick lift
SemSearch_ES-88	thomas jefferson
SemSearch_ES-89	university north dakota
SemSearch_ES-90	university phoenix
SemSearch_ES-91	westminster abbey
SemSearch_ES-93	08 toyota tundra
SemSearch_ES-94	hugh downs
SemSearch_ES-95	madrid
SemSearch_ES-96	new england coffee
SemSearch_ES-97	pink panther 2
SemSearch_ES-98	university texas austin
SemSearch_ES-99	university york
SemSearch_ES-100	ymca tampa
SemSearch_ES-101	ashley wagner
SemSearch_ES-102	beach flower
SemSearch_ES-103	bounce city humble tx
SemSearch_ES-104	bourbonnai il
SemSearch_ES-105	cedar garden apartments
SemSearch_ES-106	chase masterson
SemSearch_ES-107	concord steel
SemSearch_ES-108	danielia cotton
SemSearch_ES-109	david hewlett
SemSearch_ES-111	eagle rock ca
SemSearch_ES-112	espresso tv stand
SemSearch_ES-114	glenn frey
SemSearch_ES-115	goodwill michigan
SemSearch_ES-118	iowa energy
SemSearch_ES-119	john elliott
SemSearch_ES-120	lawrence general hospital
SemSearch_ES-123	michael zimmerman
SemSearch_ES-124	motorola bluetooth hs850
SemSearch_ES-125	nokia e73
SemSearch_ES-127	palm tungsten e2 handheld
SemSearch_ES-128	philadelphia neufchatel cheese
SemSearch_ES-129	pizza populous detroit mi
SemSearch_ES-130	plymouth police department
SemSearch_ES-131	scpa san diego
SemSearch_ES-132	sea mattress co
SemSearch_ES-133	sedona hike trail
SemSearch_ES-134	skye wood
SemSearch_ES-135	spring shoe canada
SemSearch_ES-136	sri lanka government gazette
SemSearch_ES-137	steak express
SemSearch_ES-138	syracuse spca
SemSearch_ES-139	big texas steak house
SemSearch_ES-140	toledo bend realty
SemSearch_ES-141	ventura county court
SemSearch_ES-142	windsor hotel philadelphia
SemSearch_LS-1	apollo astronaut walk moon
SemSearch_LS-2	arab states persian gulf
SemSearch_LS-3	astronaut landed moon
SemSearch_LS-4	axis powers world war ii
SemSearch_LS-5	books jewish canon
SemSearch_LS-6	borough new york city
SemSearch_LS-7	branch us military
SemSearch_LS-8	continent world
SemSearch_LS-9	degree eastern orthodox monasticism
SemSearch_LS-10	nicole kidman sibling
SemSearch_LS-11	diocese church ireland
SemSearch_LS-12	first target atomic bomb
SemSearch_LS-13	five great epic tamil literature
SemSearch_LS-14	gods dwelt mount olympus
SemSearch_LS-16	hijack september 11 attack
SemSearch_LS-17	house russia parliament
SemSearch_LS-18	john lennon parent
SemSearch_LS-19	kenya captain cricket
SemSearch_LS-20	kublai khan sibling
SemSearch_LS-21	lil allen parent
SemSearch_LS-22	major league united states
SemSearch_LS-24	matt berry tv series
SemSearch_LS-25	member u2
SemSearch_LS-26	movies star erykah badu
SemSearch_LS-29	nation portugal official language
SemSearch_LS-30	orders choir angel
SemSearch_LS-31	permanent member un security council
SemSearch_LS-32	president depict mount rushmore die shoot
SemSearch_LS-33	provinces territory canada
SemSearch_LS-34	ratt album
SemSearch_LS-35	republic former yugoslavia
SemSearch_LS-36	revolutionary 1959 cuba
SemSearch_LS-37	standard axiom set theory
SemSearch_LS-38	states border oklahoma
SemSearch_LS-39	ten ancient greece city kingdom cyprus
SemSearch_LS-40	first 13 america states
SemSearch_LS-41	four companion prophet
SemSearch_LS-42	twelve tribe son israel
SemSearch_LS-43	books paul tarsus write
SemSearch_LS-44	language speak afghanistan
SemSearch_LS-46	britain monarch head state
SemSearch_LS-49	invent python program language
SemSearch_LS-50	wonders ancient world
TREC_Entity-1	carrier blackberry make phone
TREC_Entity-2	winner acm athena award
TREC_Entity-4	professional sports team philadelphia
TREC_Entity-5	product medimmune inc
TREC_Entity-6	organization award nobel prize
TREC_Entity-7	airline current use boeing 747 plane
TREC_Entity-9	member beaux arts trio
TREC_Entity-10	campus indiana university
TREC_Entity-11	donor home depot foundation
TREC_Entity-12	airline air canada code share flight
TREC_Entity-14	author award anthony award bouchercon 2007
TREC_Entity-15	university member sec conference football
TREC_Entity-16	sponsor mancuso quilt festival
TREC_Entity-17	chef show food network
TREC_Entity-18	member band jefferson airplane
TREC_Entity-19	company john hennessey serve board
TREC_Entity-20	scotch whisky distillery island islay
