qid	ngramtype	gram	field	featurename	featurevalue
INEX_LD-20120132	bigram	travel airport	attributes	cf	-16.915955679326647
INEX_LD-20120132	bigram	travel airport	similarentitynames	cf	-Infinity
INEX_LD-20120132	bigram	travel airport	categories	cf	-Infinity
INEX_LD-20120132	bigram	travel airport	outgoingentitynames	cf	-Infinity
INEX_LD-20120211	unigram	guitar	names	cf	-9.668330136194307
INEX_LD-20120211	unigram	guitar	attributes	cf	-8.795648710638579
INEX_LD-20120211	unigram	guitar	similarentitynames	cf	-9.566747478522965
INEX_LD-20120211	unigram	guitar	categories	cf	-10.154268715167774
INEX_LD-20120211	unigram	guitar	outgoingentitynames	cf	-7.997178357262439
INEX_LD-20120211	unigram	chord	names	cf	-11.013416625883886
INEX_LD-20120211	unigram	chord	attributes	cf	-11.138140423313407
INEX_LD-20120211	unigram	chord	similarentitynames	cf	-10.701897061035782
INEX_LD-20120211	unigram	chord	categories	cf	-11.627458059166704
INEX_LD-20120211	unigram	chord	outgoingentitynames	cf	-11.874041672264978
INEX_LD-20120211	unigram	tune	names	cf	-10.351874784739273
INEX_LD-20120211	unigram	tune	attributes	cf	-10.016020370449466
INEX_LD-20120211	unigram	tune	similarentitynames	cf	-10.504254049547393
INEX_LD-20120211	unigram	tune	categories	cf	-10.832167823932556
INEX_LD-20120211	unigram	tune	outgoingentitynames	cf	-11.437169765668916
INEX_LD-20120211	bigram	guitar chord	names	cf	-16.429517028088306
INEX_LD-20120211	bigram	guitar chord	attributes	cf	-15.265274808358498
INEX_LD-20120211	bigram	guitar chord	similarentitynames	cf	-16.744529894718163
INEX_LD-20120211	bigram	guitar chord	categories	cf	-Infinity
INEX_LD-20120211	bigram	guitar chord	outgoingentitynames	cf	-Infinity
INEX_LD-20120211	bigram	chord tune	names	cf	-Infinity
INEX_LD-20120211	bigram	chord tune	attributes	cf	-18.068635189265034
INEX_LD-20120211	bigram	chord tune	similarentitynames	cf	-Infinity
INEX_LD-20120211	bigram	chord tune	categories	cf	-Infinity
INEX_LD-20120211	bigram	chord tune	outgoingentitynames	cf	-Infinity
INEX_LD-20120212	unigram	guitar	names	cf	-9.668330136194307
INEX_LD-20120212	unigram	guitar	attributes	cf	-8.795648710638579
INEX_LD-20120212	unigram	guitar	similarentitynames	cf	-9.566747478522965
INEX_LD-20120212	unigram	guitar	categories	cf	-10.154268715167774
INEX_LD-20120212	unigram	guitar	outgoingentitynames	cf	-7.997178357262439
INEX_LD-20120212	unigram	chord	names	cf	-11.013416625883886
INEX_LD-20120212	unigram	chord	attributes	cf	-11.138140423313407
INEX_LD-20120212	unigram	chord	similarentitynames	cf	-10.701897061035782
INEX_LD-20120212	unigram	chord	categories	cf	-11.627458059166704
INEX_LD-20120212	unigram	chord	outgoingentitynames	cf	-11.874041672264978
INEX_LD-20120212	unigram	minor	names	cf	-8.43454750539043
INEX_LD-20120212	unigram	minor	attributes	cf	-8.62960666571929
INEX_LD-20120212	unigram	minor	similarentitynames	cf	-8.329590937340681
INEX_LD-20120212	unigram	minor	categories	cf	-8.447892336921765
INEX_LD-20120212	unigram	minor	outgoingentitynames	cf	-9.759776032844862
INEX_LD-20120212	bigram	guitar chord	names	cf	-16.429517028088306
INEX_LD-20120212	bigram	guitar chord	attributes	cf	-15.265274808358498
INEX_LD-20120212	bigram	guitar chord	similarentitynames	cf	-16.744529894718163
INEX_LD-20120212	bigram	guitar chord	categories	cf	-Infinity
INEX_LD-20120212	bigram	guitar chord	outgoingentitynames	cf	-Infinity
INEX_LD-20120212	bigram	chord minor	names	cf	-Infinity
INEX_LD-20120212	bigram	chord minor	attributes	cf	-16.19683301236344
INEX_LD-20120212	bigram	chord minor	similarentitynames	cf	-14.79861974566285
INEX_LD-20120212	bigram	chord minor	categories	cf	-Infinity
INEX_LD-20120212	bigram	chord minor	outgoingentitynames	cf	-Infinity
INEX_LD-20120221	unigram	guitar	names	cf	-9.668330136194307
INEX_LD-20120221	unigram	guitar	attributes	cf	-8.795648710638579
INEX_LD-20120221	unigram	guitar	similarentitynames	cf	-9.566747478522965
INEX_LD-20120221	unigram	guitar	categories	cf	-10.154268715167774
INEX_LD-20120221	unigram	guitar	outgoingentitynames	cf	-7.997178357262439
INEX_LD-20120221	unigram	classical	names	cf	-9.296753271182448
INEX_LD-20120221	unigram	classical	attributes	cf	-9.084401086453827
INEX_LD-20120221	unigram	classical	similarentitynames	cf	-9.808187158884113
INEX_LD-20120221	unigram	classical	categories	cf	-7.741125370574241
INEX_LD-20120221	unigram	classical	outgoingentitynames	cf	-9.396377839943172
INEX_LD-20120221	unigram	flamenco	names	cf	-12.809630445461323
INEX_LD-20120221	unigram	flamenco	attributes	cf	-12.400479892251983
INEX_LD-20120221	unigram	flamenco	similarentitynames	cf	-13.133611982073939
INEX_LD-20120221	unigram	flamenco	categories	cf	-12.30398435849061
INEX_LD-20120221	unigram	flamenco	outgoingentitynames	cf	-13.087478751173501
INEX_LD-20120221	bigram	guitar classical	names	cf	-16.141834955636526
INEX_LD-20120221	bigram	guitar classical	attributes	cf	-16.12272504020972
INEX_LD-20120221	bigram	guitar classical	similarentitynames	cf	-15.135091982284063
INEX_LD-20120221	bigram	guitar classical	categories	cf	-14.70463066466087
INEX_LD-20120221	bigram	guitar classical	outgoingentitynames	cf	-13.8181303271919
INEX_LD-20120221	bigram	classical flamenco	names	cf	-Infinity
INEX_LD-20120221	bigram	classical flamenco	attributes	cf	-16.682340828145144
INEX_LD-20120221	bigram	classical flamenco	similarentitynames	cf	-Infinity
INEX_LD-20120221	bigram	classical flamenco	categories	cf	-Infinity
INEX_LD-20120221	bigram	classical flamenco	outgoingentitynames	cf	-Infinity
INEX_LD-20120222	unigram	guitar	names	cf	-9.668330136194307
INEX_LD-20120222	unigram	guitar	attributes	cf	-8.795648710638579
INEX_LD-20120222	unigram	guitar	similarentitynames	cf	-9.566747478522965
INEX_LD-20120222	unigram	guitar	categories	cf	-10.154268715167774
INEX_LD-20120222	unigram	guitar	outgoingentitynames	cf	-7.997178357262439
INEX_LD-20120222	unigram	classical	names	cf	-9.296753271182448
INEX_LD-20120222	unigram	classical	attributes	cf	-9.084401086453827
INEX_LD-20120222	unigram	classical	similarentitynames	cf	-9.808187158884113
INEX_LD-20120222	unigram	classical	categories	cf	-7.741125370574241
INEX_LD-20120222	unigram	classical	outgoingentitynames	cf	-9.396377839943172
INEX_LD-20120222	unigram	bach	names	cf	-10.427277407812367
INEX_LD-20120222	unigram	bach	attributes	cf	-11.130027446800131
INEX_LD-20120222	unigram	bach	similarentitynames	cf	-10.369505074890066
INEX_LD-20120222	unigram	bach	categories	cf	-11.549566352537623
INEX_LD-20120222	unigram	bach	outgoingentitynames	cf	-11.551205414596739
INEX_LD-20120222	bigram	guitar classical	names	cf	-16.141834955636526
INEX_LD-20120222	bigram	guitar classical	attributes	cf	-16.12272504020972
INEX_LD-20120222	bigram	guitar classical	similarentitynames	cf	-15.135091982284063
INEX_LD-20120222	bigram	guitar classical	categories	cf	-14.70463066466087
INEX_LD-20120222	bigram	guitar classical	outgoingentitynames	cf	-13.8181303271919
INEX_LD-20120222	bigram	classical bach	names	cf	-Infinity
INEX_LD-20120222	bigram	classical bach	attributes	cf	-Infinity
INEX_LD-20120222	bigram	classical bach	similarentitynames	cf	-Infinity
INEX_LD-20120222	bigram	classical bach	categories	cf	-Infinity
INEX_LD-20120222	bigram	classical bach	outgoingentitynames	cf	-Infinity
INEX_LD-20120231	unigram	guitar	names	cf	-9.668330136194307
INEX_LD-20120231	unigram	guitar	attributes	cf	-8.795648710638579
INEX_LD-20120231	unigram	guitar	similarentitynames	cf	-9.566747478522965
INEX_LD-20120231	unigram	guitar	categories	cf	-10.154268715167774
INEX_LD-20120231	unigram	guitar	outgoingentitynames	cf	-7.997178357262439
INEX_LD-20120231	unigram	origin	names	cf	-9.624533027142116
INEX_LD-20120231	unigram	origin	attributes	cf	-7.93548537842758
INEX_LD-20120231	unigram	origin	similarentitynames	cf	-9.663661998027381
INEX_LD-20120231	unigram	origin	categories	cf	-9.320135601871781
INEX_LD-20120231	unigram	origin	outgoingentitynames	cf	-7.513518517993134
INEX_LD-20120231	unigram	russia	names	cf	-7.66812354283225
INEX_LD-20120231	unigram	russia	attributes	cf	-7.737676448358126
INEX_LD-20120231	unigram	russia	similarentitynames	cf	-7.796853832218473
INEX_LD-20120231	unigram	russia	categories	cf	-6.504958306314567
INEX_LD-20120231	unigram	russia	outgoingentitynames	cf	-7.463051592686658
INEX_LD-20120231	bigram	guitar origin	names	cf	-Infinity
INEX_LD-20120231	bigram	guitar origin	attributes	cf	-16.56455779248876
INEX_LD-20120231	bigram	guitar origin	similarentitynames	cf	-Infinity
INEX_LD-20120231	bigram	guitar origin	categories	cf	-Infinity
INEX_LD-20120231	bigram	guitar origin	outgoingentitynames	cf	-12.99384314613951
INEX_LD-20120231	bigram	origin russia	names	cf	-17.528129316756417
INEX_LD-20120231	bigram	origin russia	attributes	cf	-15.749520794319777
INEX_LD-20120231	bigram	origin russia	similarentitynames	cf	-Infinity
INEX_LD-20120231	bigram	origin russia	categories	cf	-15.310766468231186
INEX_LD-20120231	bigram	origin russia	outgoingentitynames	cf	-14.09525263942868
INEX_LD-20120232	unigram	guitar	names	cf	-9.668330136194307
INEX_LD-20120232	unigram	guitar	attributes	cf	-8.795648710638579
INEX_LD-20120232	unigram	guitar	similarentitynames	cf	-9.566747478522965
INEX_LD-20120232	unigram	guitar	categories	cf	-10.154268715167774
INEX_LD-20120232	unigram	guitar	outgoingentitynames	cf	-7.997178357262439
INEX_LD-20120232	unigram	origin	names	cf	-9.624533027142116
INEX_LD-20120232	unigram	origin	attributes	cf	-7.93548537842758
INEX_LD-20120232	unigram	origin	similarentitynames	cf	-9.663661998027381
INEX_LD-20120232	unigram	origin	categories	cf	-9.320135601871781
INEX_LD-20120232	unigram	origin	outgoingentitynames	cf	-7.513518517993134
INEX_LD-20120232	unigram	blues	names	cf	-9.023211156215792
INEX_LD-20120232	unigram	blues	attributes	cf	-9.3727102099054
INEX_LD-20120232	unigram	blues	similarentitynames	cf	-9.264101588643955
INEX_LD-20120232	unigram	blues	categories	cf	-8.255261907099436
INEX_LD-20120232	unigram	blues	outgoingentitynames	cf	-7.1744152385498055
INEX_LD-20120232	bigram	guitar origin	names	cf	-Infinity
INEX_LD-20120232	bigram	guitar origin	attributes	cf	-16.56455779248876
INEX_LD-20120232	bigram	guitar origin	similarentitynames	cf	-Infinity
INEX_LD-20120232	bigram	guitar origin	categories	cf	-Infinity
INEX_LD-20120232	bigram	guitar origin	outgoingentitynames	cf	-12.99384314613951
INEX_LD-20120232	bigram	origin blues	names	cf	-17.528129316756417
INEX_LD-20120232	bigram	origin blues	attributes	cf	-17.295445301031553
INEX_LD-20120232	bigram	origin blues	similarentitynames	cf	-Infinity
INEX_LD-20120232	bigram	origin blues	categories	cf	-Infinity
INEX_LD-20120232	bigram	origin blues	outgoingentitynames	cf	-Infinity
INEX_LD-20120311	unigram	tango	names	cf	-11.221854029808402
INEX_LD-20120311	unigram	tango	attributes	cf	-11.70618196357886
INEX_LD-20120311	unigram	tango	similarentitynames	cf	-11.176185390957066
INEX_LD-20120311	unigram	tango	categories	cf	-11.93583701338964
INEX_LD-20120311	unigram	tango	outgoingentitynames	cf	-9.944543629267807
INEX_LD-20120311	unigram	culture	names	cf	-8.375629944470084
INEX_LD-20120311	unigram	culture	attributes	cf	-8.60140706001048
INEX_LD-20120311	unigram	culture	similarentitynames	cf	-8.626919148251934
INEX_LD-20120311	unigram	culture	categories	cf	-7.298932387743756
INEX_LD-20120311	unigram	culture	outgoingentitynames	cf	-8.64609137496337
INEX_LD-20120311	unigram	movies	names	cf	-10.074567445113043
INEX_LD-20120311	unigram	movies	attributes	cf	-9.770842562884171
INEX_LD-20120311	unigram	movies	similarentitynames	cf	-9.616836195370764
INEX_LD-20120311	unigram	movies	categories	cf	-10.838492955709526
INEX_LD-20120311	unigram	movies	outgoingentitynames	cf	-12.006401723569915
INEX_LD-20120311	bigram	tango culture	names	cf	-Infinity
INEX_LD-20120311	bigram	tango culture	attributes	cf	-18.474100297373198
INEX_LD-20120311	bigram	tango culture	similarentitynames	cf	-Infinity
INEX_LD-20120311	bigram	tango culture	categories	cf	-Infinity
INEX_LD-20120311	bigram	tango culture	outgoingentitynames	cf	-Infinity
INEX_LD-20120311	bigram	culture movies	names	cf	-Infinity
INEX_LD-20120311	bigram	culture movies	attributes	cf	-17.375488008705087
INEX_LD-20120311	bigram	culture movies	similarentitynames	cf	-Infinity
INEX_LD-20120311	bigram	culture movies	categories	cf	-Infinity
INEX_LD-20120311	bigram	culture movies	outgoingentitynames	cf	-Infinity
INEX_LD-20120312	unigram	tango	names	cf	-11.221854029808402
INEX_LD-20120312	unigram	tango	attributes	cf	-11.70618196357886
INEX_LD-20120312	unigram	tango	similarentitynames	cf	-11.176185390957066
INEX_LD-20120312	unigram	tango	categories	cf	-11.93583701338964
INEX_LD-20120312	unigram	tango	outgoingentitynames	cf	-9.944543629267807
INEX_LD-20120312	unigram	culture	names	cf	-8.375629944470084
INEX_LD-20120312	unigram	culture	attributes	cf	-8.60140706001048
INEX_LD-20120312	unigram	culture	similarentitynames	cf	-8.626919148251934
INEX_LD-20120312	unigram	culture	categories	cf	-7.298932387743756
INEX_LD-20120312	unigram	culture	outgoingentitynames	cf	-8.64609137496337
INEX_LD-20120312	unigram	country	names	cf	-7.560962987557106
INEX_LD-20120312	unigram	country	attributes	cf	-6.315220155452037
INEX_LD-20120312	unigram	country	similarentitynames	cf	-8.232148260299148
INEX_LD-20120312	unigram	country	categories	cf	-6.8075369838323345
INEX_LD-20120312	unigram	country	outgoingentitynames	cf	-5.948288013588946
INEX_LD-20120312	bigram	tango culture	names	cf	-Infinity
INEX_LD-20120312	bigram	tango culture	attributes	cf	-18.474100297373198
INEX_LD-20120312	bigram	tango culture	similarentitynames	cf	-Infinity
INEX_LD-20120312	bigram	tango culture	categories	cf	-Infinity
INEX_LD-20120312	bigram	tango culture	outgoingentitynames	cf	-Infinity
INEX_LD-20120312	bigram	culture country	names	cf	-15.44868777507658
INEX_LD-20120312	bigram	culture country	attributes	cf	-14.718731101990429
INEX_LD-20120312	bigram	culture country	similarentitynames	cf	-Infinity
INEX_LD-20120312	bigram	culture country	categories	cf	-15.0656440101982
INEX_LD-20120312	bigram	culture country	outgoingentitynames	cf	-13.918549074938948
INEX_LD-20120321	unigram	tango	names	cf	-11.221854029808402
INEX_LD-20120321	unigram	tango	attributes	cf	-11.70618196357886
INEX_LD-20120321	unigram	tango	similarentitynames	cf	-11.176185390957066
INEX_LD-20120321	unigram	tango	categories	cf	-11.93583701338964
INEX_LD-20120321	unigram	tango	outgoingentitynames	cf	-9.944543629267807
INEX_LD-20120321	unigram	music	names	cf	-7.122231450055645
INEX_LD-20120321	unigram	music	attributes	cf	-6.732496625590285
INEX_LD-20120321	unigram	music	similarentitynames	cf	-7.362760407114449
INEX_LD-20120321	unigram	music	categories	cf	-6.301115310407142
INEX_LD-20120321	unigram	music	outgoingentitynames	cf	-5.4404496188225275
INEX_LD-20120321	unigram	composer	names	cf	-9.639794816017764
INEX_LD-20120321	unigram	composer	attributes	cf	-8.398699332010048
INEX_LD-20120321	unigram	composer	similarentitynames	cf	-9.597757715265526
INEX_LD-20120321	unigram	composer	categories	cf	-7.199138389923446
INEX_LD-20120321	unigram	composer	outgoingentitynames	cf	-9.437697318353298
INEX_LD-20120321	bigram	tango music	names	cf	-15.736369847528362
INEX_LD-20120321	bigram	tango music	attributes	cf	-15.799951647946669
INEX_LD-20120321	bigram	tango music	similarentitynames	cf	-15.645917606050054
INEX_LD-20120321	bigram	tango music	categories	cf	-14.868933715952146
INEX_LD-20120321	bigram	tango music	outgoingentitynames	cf	-14.112202197742453
INEX_LD-20120321	bigram	music composer	names	cf	-13.89054315703003
INEX_LD-20120321	bigram	music composer	attributes	cf	-11.278725447892485
INEX_LD-20120321	bigram	music composer	similarentitynames	cf	-13.971941172478381
INEX_LD-20120321	bigram	music composer	categories	cf	-12.046280132110933
INEX_LD-20120321	bigram	music composer	outgoingentitynames	cf	-13.77450970471601
INEX_LD-20120322	unigram	tango	names	cf	-11.221854029808402
INEX_LD-20120322	unigram	tango	attributes	cf	-11.70618196357886
INEX_LD-20120322	unigram	tango	similarentitynames	cf	-11.176185390957066
INEX_LD-20120322	unigram	tango	categories	cf	-11.93583701338964
INEX_LD-20120322	unigram	tango	outgoingentitynames	cf	-9.944543629267807
INEX_LD-20120322	unigram	music	names	cf	-7.122231450055645
INEX_LD-20120322	unigram	music	attributes	cf	-6.732496625590285
INEX_LD-20120322	unigram	music	similarentitynames	cf	-7.362760407114449
INEX_LD-20120322	unigram	music	categories	cf	-6.301115310407142
