qid	ngramtype	gram	featurename	featurevalue
INEX_LD-2009062	bigram	network group	collectiontf	-Infinity
INEX_LD-2009062	bigram	group selection	collectiontf	1.791759469228055
INEX_LD-2009063	unigram	d	collectiontf	10.71159155655226
INEX_LD-2009063	unigram	day	collectiontf	10.115327457678946
INEX_LD-2009063	unigram	normandy	collectiontf	9.399554785027307
INEX_LD-2009063	unigram	invasion	collectiontf	8.417593826193484
INEX_LD-2009063	bigram	d day	collectiontf	0.0
INEX_LD-2009063	bigram	day normandy	collectiontf	-Infinity
INEX_LD-2009063	bigram	normandy invasion	collectiontf	4.762173934797756
INEX_LD-2009074	unigram	web	collectiontf	9.423595190540022
INEX_LD-2009074	unigram	ranking	collectiontf	5.459585514144159
INEX_LD-2009074	unigram	score	collectiontf	7.71244383427499
INEX_LD-2009074	unigram	algorithm	collectiontf	6.025865973825314
INEX_LD-2009074	bigram	web ranking	collectiontf	-Infinity
INEX_LD-2009074	bigram	ranking score	collectiontf	-Infinity
INEX_LD-2009074	bigram	score algorithm	collectiontf	-Infinity
INEX_LD-2009096	unigram	eiffel	collectiontf	5.634789603169249
INEX_LD-2009111	unigram	europe	collectiontf	12.122343149998642
INEX_LD-2009111	unigram	solar	collectiontf	7.977968093128549
INEX_LD-2009111	unigram	power	collectiontf	10.506053354864834
INEX_LD-2009111	unigram	facility	collectiontf	5.641907070938114
INEX_LD-2009111	bigram	europe solar	collectiontf	-Infinity
INEX_LD-2009111	bigram	solar power	collectiontf	5.37989735354046
INEX_LD-2009111	bigram	power facility	collectiontf	-Infinity
INEX_LD-2009115	unigram	virtual	collectiontf	7.944492163932159
INEX_LD-2009115	unigram	museum	collectiontf	10.037712454627359
INEX_LD-2009115	bigram	virtual museum	collectiontf	2.0794415416798357
INEX_LD-2010004	unigram	indian	collectiontf	10.596134608054392
INEX_LD-2010004	unigram	food	collectiontf	8.680331928793418
INEX_LD-2010004	bigram	indian food	collectiontf	-Infinity
INEX_LD-2010014	unigram	composer	collectiontf	9.436678814186912
INEX_LD-2010014	unigram	museum	collectiontf	10.037712454627359
INEX_LD-2010014	bigram	composer museum	collectiontf	-Infinity
INEX_LD-2010019	unigram	gallo	collectiontf	7.7437032581737535
INEX_LD-2010019	unigram	roman	collectiontf	10.760261798384528
INEX_LD-2010019	unigram	architecture	collectiontf	10.437873440711131
INEX_LD-2010019	unigram	paris	collectiontf	11.47237426711458
INEX_LD-2010019	bigram	gallo roman	collectiontf	1.3862943611198906
INEX_LD-2010019	bigram	roman architecture	collectiontf	4.553876891600541
INEX_LD-2010019	bigram	architecture paris	collectiontf	1.0986122886681098
INEX_LD-2010020	unigram	electricity	collectiontf	7.084226422097916
INEX_LD-2010020	unigram	source	collectiontf	9.046055177668327
INEX_LD-2010020	unigram	france	collectiontf	12.644340479603889
INEX_LD-2010020	bigram	electricity source	collectiontf	-Infinity
INEX_LD-2010020	bigram	source france	collectiontf	1.6094379124341003
INEX_LD-2010037	unigram	social	collectiontf	9.888932134526929
INEX_LD-2010037	unigram	network	collectiontf	10.963757408916045
INEX_LD-2010037	unigram	api	collectiontf	3.1780538303479458
INEX_LD-2010037	bigram	social network	collectiontf	6.045005314036012
INEX_LD-2010037	bigram	network api	collectiontf	-Infinity
INEX_LD-2010043	unigram	list	collectiontf	12.520149539528866
INEX_LD-2010043	unigram	film	collectiontf	11.439644842775813
INEX_LD-2010043	unigram	surrealist	collectiontf	3.6375861597263857
INEX_LD-2010043	unigram	category	collectiontf	10.705870231302164
INEX_LD-2010043	bigram	list film	collectiontf	2.0794415416798357
INEX_LD-2010043	bigram	film surrealist	collectiontf	-Infinity
INEX_LD-2010043	bigram	surrealist category	collectiontf	-Infinity
INEX_LD-2010057	unigram	einstein	collectiontf	6.675823221634848
INEX_LD-2010057	unigram	relativity	collectiontf	7.478169694159785
INEX_LD-2010057	unigram	theory	collectiontf	8.471149252914831
INEX_LD-2010057	bigram	einstein relativity	collectiontf	-Infinity
INEX_LD-2010057	bigram	relativity theory	collectiontf	2.4849066497880004
INEX_LD-2010069	unigram	summer	collectiontf	11.110296331681273
INEX_LD-2010069	unigram	flower	collectiontf	8.929435283803425
INEX_LD-2010069	bigram	summer flower	collectiontf	-Infinity
INEX_LD-2010100	unigram	house	collectiontf	10.884273054590794
INEX_LD-2010100	unigram	concrete	collectiontf	6.455198563340122
INEX_LD-2010100	unigram	wood	collectiontf	10.456395176681486
INEX_LD-2010100	bigram	house concrete	collectiontf	-Infinity
INEX_LD-2010100	bigram	concrete wood	collectiontf	-Infinity
INEX_LD-2010106	unigram	organic	collectiontf	6.309918278226516
INEX_LD-2010106	unigram	food	collectiontf	8.680331928793418
INEX_LD-2010106	unigram	advantage	collectiontf	4.812184355372417
INEX_LD-2010106	unigram	disadvantage	collectiontf	-Infinity
INEX_LD-2010106	bigram	organic food	collectiontf	3.58351893845611
INEX_LD-2010106	bigram	food advantage	collectiontf	-Infinity
INEX_LD-2010106	bigram	advantage disadvantage	collectiontf	-Infinity
INEX_LD-2012301	unigram	niagara	collectiontf	8.55564437779049
INEX_LD-2012301	unigram	falls	collectiontf	9.789534672460096
INEX_LD-2012301	unigram	origin	collectiontf	11.360857614547074
INEX_LD-2012301	unigram	lake	collectiontf	11.503571856043113
INEX_LD-2012301	bigram	niagara falls	collectiontf	7.60489448081162
INEX_LD-2012301	bigram	falls origin	collectiontf	1.0986122886681098
INEX_LD-2012301	bigram	origin lake	collectiontf	4.3694478524670215
INEX_LD-2012303	unigram	valley	collectiontf	10.458894495697496
INEX_LD-2012303	unigram	fever	collectiontf	7.318539548567902
INEX_LD-2012303	unigram	fungal	collectiontf	2.302585092994046
INEX_LD-2012303	unigram	infection	collectiontf	4.110873864173311
INEX_LD-2012303	unigram	san	collectiontf	12.371468432901187
INEX_LD-2012303	unigram	joaquin	collectiontf	8.312626025674962
INEX_LD-2012303	bigram	valley fever	collectiontf	-Infinity
INEX_LD-2012303	bigram	fever fungal	collectiontf	-Infinity
INEX_LD-2012303	bigram	fungal infection	collectiontf	-Infinity
INEX_LD-2012303	bigram	infection san	collectiontf	-Infinity
INEX_LD-2012303	bigram	san joaquin	collectiontf	7.951207156472972
INEX_LD-2012305	unigram	north	collectiontf	12.518131427021517
INEX_LD-2012305	unigram	dakota	collectiontf	10.529372506036905
INEX_LD-2012305	unigram	lowest	collectiontf	3.295836866004329
INEX_LD-2012305	unigram	river	collectiontf	11.46002034597524
INEX_LD-2012305	unigram	colour	collectiontf	7.476472381163905
INEX_LD-2012305	bigram	north dakota	collectiontf	9.62231756369957
INEX_LD-2012305	bigram	dakota lowest	collectiontf	-Infinity
INEX_LD-2012305	bigram	lowest river	collectiontf	-Infinity
INEX_LD-2012305	bigram	river colour	collectiontf	-Infinity
INEX_LD-2012307	unigram	july	collectiontf	6.829793737512425
INEX_LD-2012307	unigram	1850	collectiontf	5.342334251964811
INEX_LD-2012307	unigram	president	collectiontf	10.678007325311796
INEX_LD-2012307	unigram	die	collectiontf	10.823730464248712
INEX_LD-2012307	unigram	millard	collectiontf	7.417580402414544
INEX_LD-2012307	unigram	fillmore	collectiontf	8.508959386489133
INEX_LD-2012307	unigram	sworn	collectiontf	4.248495242049359
INEX_LD-2012307	unigram	following	collectiontf	4.330733340286331
INEX_LD-2012307	unigram	day	collectiontf	10.115327457678946
INEX_LD-2012307	bigram	july 1850	collectiontf	-Infinity
INEX_LD-2012307	bigram	1850 president	collectiontf	-Infinity
INEX_LD-2012307	bigram	president die	collectiontf	-Infinity
INEX_LD-2012307	bigram	die millard	collectiontf	-Infinity
INEX_LD-2012307	bigram	millard fillmore	collectiontf	5.278114659230517
INEX_LD-2012307	bigram	fillmore sworn	collectiontf	-Infinity
INEX_LD-2012307	bigram	sworn following	collectiontf	-Infinity
INEX_LD-2012307	bigram	following day	collectiontf	-Infinity
INEX_LD-2012309	unigram	resident	collectiontf	6.511745329644728
INEX_LD-2012309	unigram	small	collectiontf	9.30946146284399
INEX_LD-2012309	unigram	island	collectiontf	11.377769896943771
INEX_LD-2012309	unigram	city	collectiontf	14.618563160431117
INEX_LD-2012309	unigram	state	collectiontf	14.145744088551588
INEX_LD-2012309	unigram	malay	collectiontf	7.122059881629142
INEX_LD-2012309	unigram	peninsula	collectiontf	8.302017809751204
INEX_LD-2012309	unigram	china	collectiontf	11.487022870647118
INEX_LD-2012309	bigram	resident small	collectiontf	-Infinity
INEX_LD-2012309	bigram	small island	collectiontf	-Infinity
INEX_LD-2012309	bigram	island city	collectiontf	8.371704884667631
INEX_LD-2012309	bigram	city state	collectiontf	8.786609455061125
INEX_LD-2012309	bigram	state malay	collectiontf	-Infinity
INEX_LD-2012309	bigram	malay peninsula	collectiontf	1.791759469228055
INEX_LD-2012309	bigram	peninsula china	collectiontf	1.3862943611198906
INEX_LD-2012311	unigram	john	collectiontf	13.123904189743088
INEX_LD-2012311	unigram	lennon	collectiontf	9.159468041602427
INEX_LD-2012311	unigram	yoko	collectiontf	8.247220052745229
INEX_LD-2012311	unigram	ono	collectiontf	8.007034012193408
INEX_LD-2012311	unigram	album	collectiontf	12.513377181990881
INEX_LD-2012311	unigram	start	collectiontf	8.892748769118258
INEX_LD-2012311	bigram	john lennon	collectiontf	8.149890544402423
INEX_LD-2012311	bigram	lennon yoko	collectiontf	6.202535517187923
INEX_LD-2012311	bigram	yoko ono	collectiontf	7.324489979348532
INEX_LD-2012311	bigram	ono album	collectiontf	2.0794415416798357
INEX_LD-2012311	bigram	album start	collectiontf	3.6375861597263857
INEX_LD-2012313	unigram	john	collectiontf	13.123904189743088
INEX_LD-2012313	unigram	turturro	collectiontf	6.714170529909472
INEX_LD-2012313	unigram	1991	collectiontf	8.177796683277778
INEX_LD-2012313	unigram	coen	collectiontf	6.761572768804055
INEX_LD-2012313	unigram	brother	collectiontf	10.182255007598334
INEX_LD-2012313	unigram	film	collectiontf	11.439644842775813
INEX_LD-2012313	bigram	john turturro	collectiontf	5.455321115357702
INEX_LD-2012313	bigram	turturro 1991	collectiontf	-Infinity
INEX_LD-2012313	bigram	1991 coen	collectiontf	-Infinity
INEX_LD-2012313	bigram	coen brother	collectiontf	4.787491742782046
INEX_LD-2012313	bigram	brother film	collectiontf	0.6931471805599453
INEX_LD-2012315	unigram	baguio	collectiontf	6.519147287940395
INEX_LD-2012315	unigram	quezon	collectiontf	9.172846167548602
INEX_LD-2012315	unigram	city	collectiontf	14.618563160431117
INEX_LD-2012315	unigram	manila	collectiontf	9.625821815359835
INEX_LD-2012315	unigram	official	collectiontf	10.011669085380657
INEX_LD-2012315	unigram	independence	collectiontf	9.9954740331485
INEX_LD-2012315	unigram	1945	collectiontf	8.647870515057853
INEX_LD-2012315	bigram	baguio quezon	collectiontf	-Infinity
INEX_LD-2012315	bigram	quezon city	collectiontf	8.866158492284917
INEX_LD-2012315	bigram	city manila	collectiontf	7.967973179662935
INEX_LD-2012315	bigram	manila official	collectiontf	-Infinity
INEX_LD-2012315	bigram	official independence	collectiontf	-Infinity
INEX_LD-2012315	bigram	independence 1945	collectiontf	-Infinity
INEX_LD-2012317	unigram	daggeroso	collectiontf	-Infinity
INEX_LD-2012317	unigram	inclined	collectiontf	2.1972245773362196
INEX_LD-2012317	unigram	use	collectiontf	9.00146947994869
INEX_LD-2012317	unigram	dagger	collectiontf	6.628041376179533
INEX_LD-2012317	unigram	novel	collectiontf	10.332766838743547
INEX_LD-2012317	unigram	son	collectiontf	9.105202053852878
INEX_LD-2012317	unigram	lovers	collectiontf	6.964135612418245
INEX_LD-2012317	bigram	daggeroso inclined	collectiontf	-Infinity
INEX_LD-2012317	bigram	inclined use	collectiontf	-Infinity
INEX_LD-2012317	bigram	use dagger	collectiontf	-Infinity
INEX_LD-2012317	bigram	dagger novel	collectiontf	-Infinity
INEX_LD-2012317	bigram	novel son	collectiontf	-Infinity
INEX_LD-2012317	bigram	son lovers	collectiontf	2.772588722239781
INEX_LD-2012318	unigram	direct	collectiontf	7.471363088187097
INEX_LD-2012318	unigram	bela	collectiontf	7.857093864902493
INEX_LD-2012318	unigram	glen	collectiontf	9.528357644224037
INEX_LD-2012318	unigram	glenda	collectiontf	6.456769655572163
INEX_LD-2012318	unigram	bride	collectiontf	7.819636302367592
INEX_LD-2012318	unigram	monster	collectiontf	8.28828304520769
INEX_LD-2012318	unigram	plan	collectiontf	8.109826276018477
INEX_LD-2012318	unigram	9	collectiontf	8.057377488557991
INEX_LD-2012318	unigram	outer	collectiontf	7.502186486602924
INEX_LD-2012318	unigram	space	collectiontf	9.663833449094929
INEX_LD-2012318	bigram	direct bela	collectiontf	-Infinity
INEX_LD-2012318	bigram	bela glen	collectiontf	-Infinity
INEX_LD-2012318	bigram	glen glenda	collectiontf	-Infinity
INEX_LD-2012318	bigram	glenda bride	collectiontf	-Infinity
INEX_LD-2012318	bigram	bride monster	collectiontf	-Infinity
INEX_LD-2012318	bigram	monster plan	collectiontf	-Infinity
INEX_LD-2012318	bigram	plan 9	collectiontf	5.056245805348308
INEX_LD-2012318	bigram	9 outer	collectiontf	-Infinity
INEX_LD-2012318	bigram	outer space	collectiontf	4.6913478822291435
INEX_LD-2012319	unigram	1994	collectiontf	8.410720946905721
INEX_LD-2012319	unigram	short	collectiontf	10.271735272827476
INEX_LD-2012319	unigram	story	collectiontf	9.38907215991958
INEX_LD-2012319	unigram	collection	collectiontf	8.814330422638774
INEX_LD-2012319	unigram	alice	collectiontf	9.5453830157878
INEX_LD-2012319	unigram	munro	collectiontf	7.496652438168283
INEX_LD-2012319	unigram	open	collectiontf	8.44741429680832
INEX_LD-2012319	bigram	1994 short	collectiontf	-Infinity
INEX_LD-2012319	bigram	short story	collectiontf	8.591558273371545
INEX_LD-2012319	bigram	story collection	collectiontf	7.379008127628304
INEX_LD-2012319	bigram	collection alice	collectiontf	-Infinity
INEX_LD-2012319	bigram	alice munro	collectiontf	4.624972813284271
INEX_LD-2012319	bigram	munro open	collectiontf	-Infinity
INEX_LD-2012321	unigram	asia	collectiontf	10.578572590277664
INEX_LD-2012321	unigram	port	collectiontf	10.713817588680424
INEX_LD-2012321	unigram	state	collectiontf	14.145744088551588
INEX_LD-2012321	unigram	city	collectiontf	14.618563160431117
INEX_LD-2012321	unigram	sir	collectiontf	10.924066225065138
INEX_LD-2012321	unigram	stamford	collectiontf	8.358900612421644
INEX_LD-2012321	unigram	raffle	collectiontf	5.783825182329737
INEX_LD-2012321	bigram	asia port	collectiontf	4.23410650459726
INEX_LD-2012321	bigram	port state	collectiontf	1.791759469228055
INEX_LD-2012321	bigram	state city	collectiontf	7.671360923190644
INEX_LD-2012321	bigram	city sir	collectiontf	2.1972245773362196
INEX_LD-2012321	bigram	sir stamford	collectiontf	-Infinity
INEX_LD-2012321	bigram	stamford raffle	collectiontf	4.248495242049359
INEX_LD-2012323	unigram	large	collectiontf	7.349873704738337
INEX_LD-2012323	unigram	glacier	collectiontf	7.816416983691801
INEX_LD-2012323	unigram	island	collectiontf	11.377769896943771
INEX_LD-2012323	unigram	nation	collectiontf	9.68694715235549
INEX_LD-2012323	unigram	langjokull	collectiontf	-Infinity
INEX_LD-2012323	unigram	hofsjokull	collectiontf	-Infinity
INEX_LD-2012323	unigram	vatnajokull	collectiontf	-Infinity
INEX_LD-2012323	bigram	large glacier	collectiontf	-Infinity
INEX_LD-2012323	bigram	glacier island	collectiontf	-Infinity
